species_id	species_alt_id	species_name	representative_genome	gtdb_taxonomy	operational_taxonomy	count_hgm	count_ref	gut_species	new_species	cultured_species	high_quality	signalp_type
OTU-05641	259138	RC9 HGM05641	SRS1596845_62	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__RC9	d__Bacteria;p__21;c__101;o__594;f__1151;g__4527;s__05641	20	0	Yes	Yes	No	Yes	gram-negative
OTU-04162	262093	Collinsella HGM04162	ERS235563_53	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	d__Bacteria;p__23;c__115;o__659;f__1278;g__5354;s__04162	17	0	Yes	Yes	No	Yes	gram-positive
OTU-14128	254243	Dialister sp.	1946415.3	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister	d__Bacteria;p__18;c__123;o__722;f__1410;g__5761;s__14128	6	1	Yes	No	No	Yes	gram-positive
OTU-04838	253432	Prevotella HGM04838	ERS235627_18	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella	d__Bacteria;p__21;c__101;o__592;f__1144;g__4366;s__04838	7	0	Yes	Yes	No	Yes	gram-negative
OTU-13389	260492	Ruminococcus sp.	ERS396528_23	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__	d__Bacteria;p__18;c__124;o__751;f__1498;g__6318;s__13389	118	2	Yes	No	No	Yes	gram-positive
OTU-09846	243751	Dielma sp.	1034346.3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma;s__Dielma fastidiosa	d__Bacteria;p__01;c__014;o__046;f__0082;g__0297;s__09846	2	1	Yes	No	Yes	Yes	gram-positive
OTU-10868	243376	RF39 HGM10868	ERS537345_3	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-822	d__Bacteria;p__01;c__014;o__047;f__0085;g__0325;s__10868	5	0	Yes	Yes	No	Yes	gram-positive
OTU-14137	261929	Dialister invisus	1263072.3	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister invisus	d__Bacteria;p__18;c__123;o__722;f__1410;g__5762;s__14137	300	2	Yes	No	Yes	Yes	gram-positive
OTU-12372	272182	Johnsonella HGM12372	SRS335389_1	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella	d__Bacteria;p__18;c__124;o__762;f__1517;g__6673;s__12372	1	0	Yes	Yes	No	Yes	gram-positive
OTU-04377	258985	Senegalimassilia HGM04377	ERS537340_74	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Senegalimassilia;s__Senegalimassilia anaerobia	d__Bacteria;p__23;c__115;o__659;f__1277;g__5368;s__04377	2	0	Yes	Yes	No	Yes	gram-positive
OTU-04751	261502	Bacteroides sp.	162156.5	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_A;s__	d__Bacteria;p__21;c__101;o__592;f__1142;g__4351;s__04751	6	2	Yes	No	Yes	Yes	gram-negative
OTU-05514	261077	Rikenellaceae HGM05514	SRS475987_132	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	d__Bacteria;p__21;c__101;o__594;f__1151;g__4536;s__05514	19	0	Yes	Yes	No	Yes	gram-negative
OTU-04165	262319	Collinsella HGM04165	ERS537341_55	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	d__Bacteria;p__23;c__115;o__659;f__1278;g__5354;s__04165	5	0	Yes	Yes	No	Yes	gram-positive
OTU-04365	251474	Eggerthella lenta	ERS608519_44	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella lenta	d__Bacteria;p__23;c__115;o__659;f__1277;g__5370;s__04365	71	5	Yes	No	Yes	Yes	gram-positive
